Electrode,MNI152_x,MNI152_y,MNI152_z,Label,Group,Radius
1,-28.23287392,15.38381195,-39.42927551,LI1,LI,1
2,-33.50267792,16.0994854,-36.68557739,LI2,LI,1
3,-38.14303589,16.68664169,-34.69422913,LI3,LI,1
4,-45.18548584,15.70106411,-35.02926636,LI4,LI,1
5,-50.77342224,14.48995781,-34.2841301,LI5,LI,1
6,-55.45667267,13.95288467,-32.5112648,LI6,LI,1
7,-59.03637314,13.84762669,-31.29076004,LI7,LI,1
8,-64.20510864,14.50643158,-29.3012352,LI8,LI,1
9,-68.56549835,14.92069244,-27.95238495,LI9,LI,1
10,-73.30973053,15.12812901,-26.89204597,LI10,LI,1
11,-78.35159302,15.11228371,-25.82811165,LI11,LI,1
12,-83.72984314,14.40431595,-25.78911781,LI12,LI,1
13,-19.66436768,0.23860614,-24.20277596,LA1,LA,1
14,-24.73631859,0.880729854,-24.06330299,LA2,LA,1
15,-30.29971123,0.936129928,-24.13671112,LA3,LA,1
16,-35.68737411,1.177773356,-23.46692276,LA4,LA,1
17,-40.12573624,0.043503877,-24.21226692,LA5,LA,1
18,-44.59937668,-1.665689588,-26.25456238,LA6,LA,1
19,-50.19955444,-3.443714619,-28.13072968,LA7,LA,1
20,-56.31415176,-2.862040281,-28.40452957,LA8,LA,1
21,-61.18002701,-2.339268446,-26.9687748,LA9,LA,1
22,-65.61206818,-1.939412951,-25.43825722,LA10,LA,1
23,-70.08567047,-2.106872559,-24.47047234,LA11,LA,1
24,-75.00337982,-2.11327529,-23.90649033,LA12,LA,1
25,-26.68252373,-15.08030415,-23.3107605,LB1,LB,1
26,-32.09223175,-14.19269848,-20.71715355,LB2,LB,1
27,-38.56768417,-14.96388626,-19.88086891,LB3,LB,1
28,-42.46792984,-15.37616158,-18.38258743,LB4,LB,1
29,-45.54764557,-14.63337421,-15.26128006,LB5,LB,1
30,-48.94856644,-13.44212151,-10.98936939,LB6,LB,1
31,-54.42489243,-11.79909039,-7.32348156,LB7,LB,1
32,-59.61711121,-11.51691914,-6.298823357,LB8,LB,1
33,-64.6931076,-12.46346283,-2.317210674,LB9,LB,1
34,-69.67856598,-11.73491383,0.10261941,LB10,LB,1
35,-73.92180634,-11.57811451,2.000738382,LB11,LB,1
36,-78.40299988,-11.54421711,3.889807224,LB12,LB,1
37,-28.93489647,-27.95560646,-10.74872208,LC1,LC,1
38,-34.4834404,-28.97495842,-9.111310005,LC2,LC,1
39,-38.81092834,-29.94071579,-7.28446722,LC3,LC,1
40,-42.55836868,-30.5751667,-4.357469559,LC4,LC,1
41,-46.77236176,-31.43891144,-1.639928222,LC5,LC,1
42,-51.42570496,-32.53926086,1.665872097,LC6,LC,1
43,-56.30817032,-33.56151581,3.854553461,LC7,LC,1
44,-61.66843033,-34.15290833,5.445299625,LC8,LC,1
45,-66.86711121,-34.62648773,6.547513962,LC9,LC,1
46,-71.69695282,-35.57435608,8.056393623,LC10,LC,1
47,-75.70944977,-36.59417343,9.763411522,LC11,LC,1
48,-80.38697052,-37.57846832,11.52491665,LC12,LC,1
49,-26.24519157,26.33439445,3.405317545,LQ1,LQ,1
50,-30.55327988,26.929142,4.15109539,LQ2,LQ,1
51,-35.89056015,26.68151283,6.115931988,LQ3,LQ,1
52,-40.70994186,25.50635529,8.419625282,LQ4,LQ,1
53,-45.97900009,23.88019371,10.70543671,LQ5,LQ,1
54,-51.47036743,22.66636086,12.2029047,LQ6,LQ,1
55,-55.90354919,21.89300728,13.91896534,LQ7,LQ,1
56,-59.38407516,21.24551392,15.27754974,LQ8,LQ,1
57,-62.95639038,20.43832016,16.37413216,LQ9,LQ,1
58,-66.87195587,20.01070404,17.20127106,LQ10,LQ,1
59,-72.37090302,19.37471008,18.37997437,LQ11,LQ,1
60,-78.88616943,19.0963459,20.01966476,LQ12,LQ,1
61,-40.01995468,17.70845985,-10.35508823,LT1,LT,1
62,-44.52442169,15.39454365,-13.73549461,LT2,LT,1
63,-50.07321167,13.29284477,-16.89870834,LT3,LT,1
64,-53.87221146,11.1174736,-19.20146942,LT4,LT,1
65,-57.69688034,8.233753204,-21.74057198,LT5,LT,1
66,-61.94716644,7.570685387,-23.39515686,LT6,LT,1
67,-66.04456329,7.211205482,-24.71478462,LT7,LT,1
68,-71.0428009,6.652268887,-26.47072983,LT8,LT,1
69,-75.6388855,6.010975361,-28.40685463,LT9,LT,1
70,-80.91026306,5.22163105,-30.53765297,LT10,LT,1
71,-86.05677795,4.632143497,-33.19159317,LT11,LT,1
72,-90.03437042,3.906267643,-35.94335556,LT12,LT,1
73,-34.06966782,-11.58613014,0.692773938,LU1,LU,1
74,-39.50527191,-12.43836212,1.346533418,LU2,LU,1
75,-44.88184738,-13.46083927,2.163163424,LU3,LU,1
76,-49.59692001,-14.07787609,2.931470394,LU4,LU,1
77,-53.59935379,-13.55345917,3.092036724,LU5,LU,1
78,-58.33230972,-13.89881229,3.809657812,LU6,LU,1
79,-63.6003685,-16.07423592,3.549808979,LU7,LU,1
80,-68.22990417,-17.04019737,2.651536703,LU8,LU,1
81,-72.3850708,-17.82902336,1.994984984,LU9,LU,1
82,-77.33403778,-19.27173233,0.929909587,LU10,LU,1
83,-81.93980408,-20.31394386,0.108878016,LU11,LU,1
84,-86.57964325,-21.43295479,-0.438548833,LU12,LU,1
85,-12.967659,24.09527206,-26.52492142,LO1,LO,1
86,-13.82750225,26.94288635,-22.00329399,LO2,LO,1
87,-14.92817116,29.07814026,-16.43895149,LO3,LO,1
88,-16.16231918,32.09976196,-10.3943634,LO4,LO,1
89,-17.25570869,35.81648636,-5.856907368,LO5,LO,1
90,-18.14818192,39.73888016,-1.152794123,LO6,LO,1
91,-18.93801117,42.80051422,4.323129654,LO7,LO,1
92,-19.60725212,45.47504044,10.82478809,LO8,LO,1
93,-19.42444611,46.87563324,16.83254433,LO9,LO,1
94,-19.585495,48.33967972,22.0688858,LO10,LO,1
95,-21.58048248,49.91247177,27.0415287,LO11,LO,1
96,-23.39005089,51.6088562,31.13207436,LO12,LO,1
97,-6.521016598,28.79570198,16.68336868,LY1,LY,1
98,-10.34721088,30.46283722,18.74997902,LY2,LY,1
99,-14.12830639,32.03787994,20.60738945,LY3,LY,1
100,-17.73000526,34.23887634,23.98257256,LY4,LY,1
101,-21.08593369,36.04951477,27.82541275,LY5,LY,1
102,-24.78456306,38.17091751,31.23068237,LY6,LY,1
103,-29.82492638,39.39015961,34.89652252,LY7,LY,1
104,-33.51442719,40.48506927,37.31961823,LY8,LY,1
105,-37.62428665,41.72581482,39.14889908,LY9,LY,1
106,-41.91662979,43.10171509,40.48840332,LY10,LY,1
107,-45.52272034,44.76039505,41.64497757,LY11,LY,1
108,-48.28992081,45.87355042,42.66823578,LY12,LY,1
109,-7.329085827,7.134586811,33.51514435,LZ1,LZ,1
110,-13.05401039,6.482128143,33.76334763,LZ2,LZ,1
111,-17.44191742,5.756801605,34.33426285,LZ3,LZ,1
